Wall time,Step,Value
1745999361.8963683,42,20155.224609375
1745999363.20949,45,17963.888671875
1745999382.6984515,94,15807.9951171875
1745999411.1646929,167,25736.5859375
1745999435.6080124,229,12544.9287109375
1745999437.5302205,234,13478.8154296875
1745999445.6639826,255,17581.84375
1745999452.4897892,273,15683.7607421875
1745999465.6937137,308,13644.9150390625
1745999466.5198185,310,13710.365234375
1745999469.5800545,318,18028.83203125
1745999529.8429313,474,3529.073486328125
1745999554.3892405,536,3131.989501953125
1745999571.4152796,579,1911.3826904296875
1745999574.0937927,586,5174.19921875
1745999592.2259572,634,1983.49462890625
1745999597.265543,647,1412.1416015625
1745999623.390613,714,7491.68896484375
1745999626.6294699,722,43735.19140625
1745999657.1388521,802,43098.97265625
1745999659.498323,808,2609.127685546875
1745999670.2342794,836,54731.06640625
1745999721.5715065,971,9489.685546875
1745999738.2027233,1014,2999.17333984375
1745999758.166516,1066,51417.015625
1745999772.5439446,1104,1532.026611328125
1745999802.1071687,1180,19199.84765625
1745999832.9895065,1261,3432.76513671875
1745999853.6666849,1316,4123.2275390625
1745999854.9497778,1319,7448.748046875
1745999860.3244057,1333,31856.814453125
1745999861.8446584,1337,23857.044921875
1745999880.3563802,1385,8554.0029296875
1745999883.0231946,1392,8811.8994140625
1745999900.133397,1436,12220.4228515625
1745999911.4033825,1466,5801.84423828125
1745999944.0299416,1552,9275.96875
1745999956.1315427,1584,32404.318359375
1745999997.3339317,1691,4773.24267578125
1746000013.405248,1734,90204.1015625
1746000014.5723028,1737,17082.24609375
1746000053.7023072,1844,32248.0546875
1746000066.4751651,1877,29568.7734375
1746000081.7090554,1917,50771.12890625
1746000093.2565424,1947,2134.598388671875
1746000126.8963108,2036,54307.4140625
1746000149.7695713,2096,13745.9052734375
1746000190.4168565,2199,1356.1512451171875
1746000214.1623507,2262,2757.21240234375
1746000231.652491,2307,2137.076171875
1746000262.9525123,2389,5114.8037109375
1746000280.2756493,2436,20151.779296875
1746000286.7057822,2453,9809.58203125
1746000287.4791603,2455,44722.328125
1746000289.2485204,2460,48232.96484375
1746000298.5387254,2485,61405.51953125
1746000298.8538308,2486,43638.8046875
1746000303.6503499,2498,104486.375
1746000305.6716201,2503,27674.22265625
1746000316.4941027,2532,68756.6875
1746000374.9465845,2685,28146.048828125
1746000395.442065,2740,60386.484375
1746000482.1395993,2967,6636.47509765625
1746000509.3548331,3038,63636.90625
1746000510.4995441,3041,88288.40625
1746000557.025814,3161,19652.69140625
1746000583.970859,3230,18881.626953125
1746000590.1390467,3246,2641.43505859375
1746000590.5393896,3247,67861.7578125
1746000612.9640527,3305,18178.203125
1746000679.6712515,3480,65671.3984375
1746000731.895648,3618,24701.142578125
1746000732.6009753,3620,7459.87353515625
1746000751.9470592,3670,7773.076171875
1746000779.0488064,3741,58629.7734375
1746000806.3898678,3814,10002.5517578125
1746000808.931183,3821,4756.13330078125
1746000851.3128245,3928,86662.0625
1746000862.6120732,3956,21889.880859375
1746000892.7415385,4036,29978.90625
1746000916.1448174,4098,10911.2265625
1746000953.942104,4196,33929.39453125
1746000967.631716,4232,94707.609375
1746000999.4855063,4317,770.82421875
1746001031.5544093,4400,946.753173828125
1746001065.576846,4492,698.2032470703125
1746001072.0024703,4509,797.1990966796875
1746001131.235276,4664,953.1138916015625
1746001132.7098808,4668,1361.1602783203125
1746001135.672245,4676,800.9110107421875
1746001177.644038,4788,45988.85546875
1746001183.0535297,4802,45018.23828125
